Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
603 The Coworking Space,Mumbai,"2nd Floor, Matulya Centre, Lower Parel, Mumbai, Maharashtra 400028, India"," Joy Sharma,Siddhesh Tawate",Maharashtra,Lower Parel,799,PLATINUM+,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7999,10999,11999,PLATINUM+,603 The Coworking Space,4.5,285,34
One Co Work,Delhi NCT,"G-36 First Floor, Connaught Cir, Block G, Connaught Place, New Delhi, Delhi 110009, India",Sameer Khan ,Delhi (NCT),Connaught Place,500,GOLD,LIVE,"[""Wifi"",""Easy Accessibility"",""Printer/Scanner"",""Locker/Storage"",""Meeting Room"",""Reception"",""Services(HR/Admin/IT/Virtual Address)""]",11000,11000,0,GOLD,One Co Work,3.9,206,71
Desk Connect,Delhi NCT,"11, Atul Grove Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India",deskconnect,Delhi (NCT),Connaught Place,900,PLATINUM+,LIVE,"[""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""24*7 Access"",""Wifi"",""Parking""]",0,11000,15000,PLATINUM+,Desk Connect,4.4,282,21
NCT-Demo,Delhi NCT,"Level 2, Augusta Point, Golf Course Road, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",Person Name,Delhi (NCT),Kalkaji,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Printer/Scanner"",""Smoking Room"",""Locker/Storage"",""Tea/Coffee"",""Work Friendly Music"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Food""]",0,11000,0,STANDARD,Space 6,4.5,122,95
Awfis-Nyati Empress,Pune,"Awfis Space Solutions, 7-10 Floor, Nyati Empress - Off, Viman Nagar Rd, Next to Baker Gauges India Pvt. Ltd, Viman Nagar Pune 411014",Mugdha,Maharashtra,Viman Nagar,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Nyati Empress,4.4,256,70
Awfis-Viman Nagar 4,Pune,"First Floor, unit no. 6 & 7, B Wing, Business@Mantri, Viman Nagar Pune 411014",Mugdha,Maharashtra,Viman Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Viman Nagar 4,3.7,252,17
Awfis-The Kode,Pune,"6th Floor, The Kode, Baner-Pashan Link Road Baner-Balewadi phata Pune 411021",Mugdha,Maharashtra,Pashan,249,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-The Kode,4.6,144,9
Awfis-Godrej Eternia,Pune,"7th & 8th Floor, Godrej Eternia, A3, Old Mumbai Pune Highway, Shivaji Nagar, Wakdewadi Pune 411005",Mugdha,Maharashtra,Shivajinagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Godrej Eternia,4.8,36,8
Awfis-The Kode 2,Pune,"5th Floor, The Kode, Baner-Pashan Link Road Baner-Balewadi phata Pune 411021",Mugdha,Maharashtra,Baner,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-The Kode 2,4.0,462,12
Awfis-G K Mall,Pune,"3rd & 4th Floor, G.K.Mall, Above Pantaloons, Near Kokane Chowk Pimple Saudagar Pune 411027",Mugdha,Maharashtra,Pimple Saudagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-G K Mall,3.9,345,56
Workin Space,Pune,"1st Floor, Palash Nine, near MIS International School, Balewadi, Pune, Maharashtra 411040, India",Munjaji Kakade,Maharashtra,Balewadi,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,0,GOLD,Workin Space,4.0,51,6
CorporatEdge,Gurgaon,"Level 11, CorporatEdge, Level 11,Sector 42, Golf Course Road, Gurugram, Haryana , Gurugram, Haryana, 122002",Kavya Chaturvedi,Haryana,Sector 43,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,0,GOLD,CorporatEdge,4.6,59,41
CorporatEdge,Delhi NCT,"Tower E, Level 2, World Trade Center, Block A 1, Nauroji Nagar, Safdarjung Enclave, New Delhi, Delhi 110029, India",Kavya,Delhi (NCT),Block A 1,0,STANDARD,NOT LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,0,0,GOLD,CorporatEdge,3.7,342,20
Awfis-Nucleus Mall Camp 2,Pune,"1st floor, Nucleus mall, Opposite Police Commissioner Office, 1 Church Road, Camp Pune 411001",Mugdha,Maharashtra,Agarkar Nagar,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Nucleus Mall Camp 2,4.2,228,42
Awfis-Sterling Towers,Pune,"Sterling Towers, Level 1,2&3 Pan Card Club Road, Baner, Pune 411045",Mugdha,Maharashtra,Baner,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Sterling Towers,4.6,393,98
Awfis-Que Spaces,Pune,"2nd floor, Seasons Mall, Magarpatta, Hadapsar, Magarpatta City Pune 411013",Mugdha,Maharashtra,North Hadapsar,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-Que Spaces,4.9,18,43
Awfis-Sterling Towers2,Pune,"Sterling Towers, Level 4 and 5, Pan Card Club Road, Baner Pune 411045",Mugdha,Maharashtra,Baner,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Sterling Towers2,4.4,309,10
Awfis-Bajaj Brandview,Pune,"Awfis Space Solutions Pvt Ltd. Bajaj Brandview Survey No. 25 A/1, 25 C. CTS No. 31, Plot No 38, Wakdewadi Pune 411003",Mugdha,Maharashtra,Wakadewadi,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Bajaj Brandview,4.5,176,48
Awfis-Baner Business Bay,Pune,"3rd Floor S No 52, Baner Business Bay Baner-Sus Road, Behind Audi, Off Mumbai Banglore Highway, Baner Pune 411021",Mugdha,Maharashtra,Baner,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Baner Business Bay,4.4,90,34
Awfis-Viman Nagar 5,Pune,"Awfis Space Solutions, 3rd Floor, B-Wing, Business@Mantri, Viman Nagar Pune 411014",Mugdha,Maharashtra,Viman Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Viman Nagar 5,3.5,151,17
Awfis-Viman Nagar 6,Pune,"Awfis Space Solutions, 4th Floor, A& B-Wing, Business@Mantri, Viman Nagar, Pune 411014",Mugdha,Maharashtra,Viman Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Viman Nagar 6,4.8,331,41
Awfis-Season Mall,Pune,"Awfis Space Solutions, Season’s Mall, Magarpatta City, Hadapsar, Magarpatta City Pune 411013",Mugdha,Maharashtra,Hadapsar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Season Mall,3.8,97,14
Awfis-Nyati Empress-I,Pune,"Awfis Space Solutions, 7-10 Floor, Nyati Empress - Off, Viman Nagar Rd, Next to Baker Gauges India Pvt. Ltd, Viman Nagar Pune 411014",Mugdha,Maharashtra,Viman Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Nyati Empress,4.9,483,73
Awfis-Vashi,Mumbai,"18th Floor, Cyber One, Plot No.4 & 6, Sector 30A Vashi Mumbai 400703",Archit Chatterjee,Maharashtra,Vashi,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-Vashi,4.2,251,71
Awfis-Lokhandwala 2,Mumbai,"15th Floor, Aston Building, Andheri West Lokhandwala Mumbai 400053",Vanessa Sequeira,Maharashtra,Andheri West,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Lokhandwala 2,3.6,42,11
Awfis-Lokhandwala 1,Mumbai,"10th Floor, Aston Building, Andheri West Lokhandwala Mumbai 400053",Vanessa Sequeira,Maharashtra,Andheri West,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-Lokhandwala 1,3.8,63,20
Awfis-Empire Tower Airoli,Mumbai,"Awfis Space Solutions Pvt Ltd. Level 12B, Empire Tower – C, Reliable Tech Park, Navi Mumbai Airoli Mumbai 400708",Nidhi Kulkarni,Maharashtra,Airoli,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-Empire Tower Airoli,4.1,158,9
Awfis-Knowledge Boulevard,Noida,"Awfis Space Solutions, 7th Floor, Plot A/8A Knowledge Boulevard, Block A, Industrial Area, Sector 62 Noida 201309",Raghav Mittal,Uttar Pradesh,Sector 62,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,11000,GOLD,Awfis-Knowledge Boulevard,4.3,218,32
Awfis-Prestige Dotcom,Bengaluru,"Awfis Space Solutions, No. 16/2, Field Marshal Cariappa Road, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Residency Road Bengaluru 560025",Rahul,Karnataka,Ashok Nagar,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,14500,PLATINUM,Awfis-Prestige Dotcom,4.9,32,10
Awfis-Paras Trinity,Gurgaon,"Awfis Space Solutions, Paras Trinity, 10th & 11th Floor, Maidawas Rd, Sector 63 Gurgaon 122011",Raghav Mittal,Haryana,Sector 63,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,12000,GOLD,Awfis-Paras Trinity,4.1,47,53
Awfis-Unitech Cyber Park 2,Gurgaon,"9th Floor, Tower-B, Unitech Cyber Park Sector - 39 Gurgaon 122002",Raghav Mittal,Haryana,Sector 39,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-Unitech Cyber Park 2,4.2,287,75
Awfis-Suncity Success Towers,Gurgaon,"6th Floor, Suncity Success Tower, Golf Course Extension Road, Sector 65 Gurgaon 122005",Raghav Mittal,Haryana,Sector 65,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,11500,SILVER,Awfis-Suncity Success Towers,3.6,299,83
Awfis-Prestige Blue Chip2,Bengaluru,"1st Floor, Tower 3, Prestige Blue Chip, Dairy Colony, Adugodi Koramangala Bengaluru 560029",Rahul,Karnataka,Adugodi,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-Prestige Blue Chip2,5.0,329,41
Awfis-Mohan Cooperative,Delhi NCT,"A - 24/9, Mohan Co-operative. Industrial Estate, Mathura Road, Saidabad Mohan Cooperative New Delhi 110044",Rajeev,Delhi (NCT),Mohan Cooperative Industrial Estate,499,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,12000,GOLD,Awfis-Mohan Cooperative,3.6,251,56
Awfis-Mohan Cooperative 2,Delhi NCT,"A - 24/9, Second Floor, Mohan Co-operative. Industrial Estate, Mathura Road, Saidabad Mohan Cooperative New Delhi 110044",Rajeev,Delhi (NCT),Mohan Cooperative Industrial Estate,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,12000,GOLD,Awfis-Mohan Cooperative 2,4.8,108,39
Awfis,Delhi NCT,"Plot No.10,B m B-Block Community Center ,Shalimar Bagh,, Block BD, West Shalimar Bagh, Shalimar Bagh, Delhi, 110088, India",Raghav Mittal,Delhi (NCT),Shalimar Bagh,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,11000,GOLD,Awfis,4.6,64,54
Awfis-Taj Deccan,Hyderabad,"Banjara Hills Main Rd, Balapur Basthi, Banjara Hills, Hyderabad, Telangana 500034, India",Abhishek,Telangana,Banjara Hills,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Taj Deccan,4.2,362,34
Awfis-HI Tech City,Hyderabad,"Level 6, N Heights, Plot No 38, Phase 2 HiTECH City Hyderabad 500081",Abhishek,Telangana,Hitec City,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4500,11000,13000,GOLD,Awfis-HI Tech City,3.9,429,69
Awfis-HI Tech City 2,Hyderabad,"Level 1, N Heights, Plot No 38, Phase 2 HiTECH City Hyderabad 500081",Abhishek,Telangana,Hitec City,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,PLATINUM,Awfis-HI Tech City 2,3.9,48,54
Awfis-HI Tech City 3,Hyderabad,"Level 4, N Heights, Plot No 38, Phase 2 HiTECH City Hyderabad 500081",Abhishek,Telangana,Hitec City,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-HI Tech City 3,4.5,279,84
Awfis-Sreshta Marvel,Hyderabad,"3rd floor, Sreshta Marvel, Sy.No.136, Gachibowli Kondapur Main Road Gachibowli Hyderabad 500032",Abhishek,Telangana,Gachibowli,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,11000,13000,GOLD,Awfis-Sreshta Marvel,4.2,26,36
Awfis-Oyster Complex,Hyderabad,"Oyster Complex, Greenlands Road Somajiguda, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500016, India",Abhishek,Telangana,Begumpet,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Oyster Complex,3.8,104,24
Awfis-Vasavi MPM Ameerpet,Hyderabad,"Yella Reddy Guda Rd, Ameerpet, Yella Reddy Guda, Hyderabad, Telangana 500073, India",Abhishek,Telangana,Ameerpet,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Vasavi MPM Ameerpet,4.6,474,37
Awfis-Rajapushpa Summit,Hyderabad,"5th Floor, Rajapushpa Summit, Nanakramguda Rd, Financial District, Gachibowli, Hyderabad, Nanakaramguda, Telangana 500008, India",Abhishek,Telangana,Financial District,500,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-Rajapushpa Summit,4.9,95,64
Awfis-DSL Abacus IT Park 2,Hyderabad,"4th floor, DSL Abacus IT Park, Survey Colony, Industrial Development Area, Uppal Hyderabad 500039",Abhishek,Telangana,Uppal,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-DSL Abacus IT Park 2,4.9,467,15
Awfis-DSL Abacus IT Park 2,Hyderabad,"Awfis Space Solutions, Ground, First, Second Floor, Oyster Complex, Greenlands Road, Somajiguda, Begumpet Hyderabad 500016",Abhishek,Telangana,Begumpet,499,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-DSL Abacus IT Park 2,4.1,97,47
Awfis-MyScape Weave,Hyderabad,"Awfis Space Solutions Private Limited, Sy No 322, Myscape Weave, Ground Floor & First floor, Nanakaramguda, Financial District Hyderabad 500032",Abhishek,Telangana,Financial District,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-MyScape Weave,4.3,252,44
Awfis-NSL ICON,Hyderabad,"Road No. 12, Anand Banjara Colony, Banjara Hills, Hyderabad, Telangana 500034, India",Abhishek,Telangana,Anand Banjara Colony,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,PLATINUM,Awfis-NSL ICON,4.7,89,5
Awfis-DSL Abacus IT Park 3,Hyderabad,"Survey Colony, Industrial Development Area, Uppal, Secunderabad, Hyderabad, Telangana 500039, India",Abhishek,Telangana,Uppal,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-DSL Abacus IT Park 3,4.8,350,99
Awfis-Gemini Circle Nungambakkam,Chennai,"143, Uthamar Gandhi Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034, India",Abhishek,Tamil Nadu,Nungambakkam,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,11000,12500,GOLD,Awfis-Gemini Circle Nungambakkam,4.9,317,31
Awfis-Bascon,Chennai,"Bascon Futura Sv It Park, Bascon Futura Sv It Park, Venkatanarayana Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",Abhishek,Tamil Nadu,Parthasarathi Puram,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,11000,12500,SILVER,Awfis-Bascon,3.5,64,89
Awfis-KRM Centre,Chennai,"KRM Towers, 1, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031, India",Abhishek,Tamil Nadu,Chetpet,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-KRM Centre,4.6,193,14
Awfis-RCity3,Mumbai,"Building, 8th Floor, Rcity Offices, Lal Bahadur Shastri Rd, Adjoining Rcity Mall, Ghatkopar (West) Mumbai 400086",Archana Pradip Kadam,Maharashtra,Ghatkopar West,449,GOLD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-RCity3,4.0,171,9
Awfis-Mantri Commerce,Bengaluru,"7th Floor, Commerce Mantri, 12, 1 & 2, Bannerghatta Rd, BTM Layout, Bannerghatta Road Bengaluru 560076",Rahul,Karnataka,BTM Layout,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,11000,GOLD,Awfis-Mantri Commerce,3.8,163,11
Awfis-Brigade Metropolis 2,Bengaluru,"12th Floor, Summit-B, B-9, ITPL Main Rd, Brigade Metropolis, Garudachar Palya, Mahadevapura, Whitefield Bengaluru 560048",Rahul,Karnataka,Brigade Metropolis,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,12000,GOLD,Awfis-Brigade Metropolis 2,4.7,369,57
Awfis-The Estate Building,Bengaluru,"Ground Floor, The Estates Building, Dickenson Road,Ulsoor, MG Road Bengaluru 560001",Rahul,Karnataka,Yellappa Garden,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-The Estate Building,4.7,172,96
Awfis-Prestige Skytech,Hyderabad,"16th Floor, Prestige Skytech, Financial District, Nanakramguda, Financial District Hyderabad 500032",Abhishek Kumar,Telangana,Financial District,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Prestige Skytech,4.3,396,25
Awfis-Aurobindo Orbit,Hyderabad,"Awfis,Aurobindo Orbit, Tower 1, Floor no. 5th, Plot No 30/C forming part of Sy. No. 83/1,  Hyderabad Knowledge City, TSIIC, Raidurg Panmukta Village, Serilingampally, Ranga Reddy Dist., HiTECH City Hyderabad 500081",Abhishek Kumar,Telangana,Hitec City,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,11000,13000,GOLD,Awfis-Aurobindo Orbit,3.7,331,20
Awfis-Laxmi Cyber City,Hyderabad,"7th Floor, Block C, Laxmi Cyber City, Whitefields, Kondapur, HiTECH City Hyderabad 500081",Abhishek Kumar,Telangana,Hitec City,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Laxmi Cyber City,4.1,178,8
Awfis-Amanora Mall,Pune,"Amanora Mall, 2nd Floor, West Block, Mundhwa - Kharadi Rd, Amanora Park Town, Hadapsar Pune 411028",Swati Sinha,Maharashtra,Hadapsar,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Amanora Mall,3.8,481,68
Awfis-Ohris Tech Park,Hyderabad,"First and Second floor, Plot no 13, Survey 64/2, (New) Software Units Layout, Madhapur, HiTECH City Hyderabad 500081",Abhishek Kumar,Telangana,Hitec City,349,SILVER,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,13000,GOLD,Awfis-Ohris Tech Park,4.7,372,13
Awfis-Sierra 2,Chennai,"Awfis Space Solutions, 3rd Floor, Plot no. 21, Electrical, Electronics & Instruments industries, Perungudi, Seevaram Village, Sholinganallur Village, Sholinganallur Taluk, OMR Chennai 600096",Abhishek,Tamil Nadu,Perungudi,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-Sierra 2,4.6,179,60
Awfis-Prince Infocity II,Chennai,"13th Floor, 283/3 & 283/4, Rajiv Gandhi Salai, Perungudi, OMR Chennai 600096",Abhishek,Tamil Nadu,Perungudi,0,STANDARD,LIVE,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,11000,0,GOLD,Awfis-Prince Infocity II,4.8,483,15
